TYPE,ARRANGEMENT,PRESSURE,K1,K2,K3,AMIN,AMAX,C1,C2,C3,PMIN,PMAX,B1,B2
Double pipe,Conventional,High,3.3444,0.2745,-0.0472,1.0000,10.0000,13.1467,-12.6574,3.0705,100.0000,300.0000,1.7400,1.5500
Double pipe,Conventional,Medium,3.3444,0.2745,-0.0472,1.0000,10.0000,0.6072,-0.9120,0.3327,40.0000,100.0000,1.7400,1.5500
Double pipe,Conventional,Low,3.3444,0.2745,-0.0472,1.0000,10.0000,0.0000,0.0000,0.0000,0.0000,40.0000,1.7400,1.5500
Multiple pipe,Conventional,High,2.7652,0.7282,0.0783,10.0000,100.0000,13.1467,-12.6574,3.0705,100.0000,300.0000,1.7400,1.5500
Multiple pipe,Conventional,Medium,2.7652,0.7282,0.0783,10.0000,100.0000,0.6072,-0.9120,0.3327,40.0000,100.0000,1.7400,1.5500
Multiple pipe,Conventional,Low,2.7652,0.7282,0.0783,10.0000,100.0000,0.0000,0.0000,0.0000,0.0000,40.0000,1.7400,1.5500
Fixed tube,Shell & Tube,High,4.3247,-0.3030,0.1634,10.0000,1000.0000,0.0388,-0.1127,0.0818,5.0000,140.0000,1.6300,1.6600
Fixed tube,Shell & Tube,Low,4.3247,-0.3030,0.1634,10.0000,1000.0000,0.0000,0.0000,0.0000,0.0000,5.0000,1.6300,1.6600
Fixed tube,Tube only,High,4.3247,-0.3030,0.1634,10.0000,1000.0000,-0.0016,-0.0063,0.0123,5.0000,140.0000,1.6300,1.6600
Fixed tube,Tube only,Low,4.3247,-0.3030,0.1634,10.0000,1000.0000,0.0000,0.0000,0.0000,0.0000,5.0000,1.6300,1.6600
U tube,Shell & Tube,High,4.1884,-0.2503,0.1974,10.0000,1000.0000,0.0388,-0.1127,0.0818,5.0000,140.0000,1.6300,1.6600
U tube,Shell & Tube,Low,4.1884,-0.2503,0.1974,10.0000,1000.0000,0.0000,0.0000,0.0000,0.0000,5.0000,1.6300,1.6600
U tube,Tube only,High,4.1884,-0.2503,0.1974,10.0000,1000.0000,-0.0016,-0.0063,0.0123,5.0000,140.0000,1.6300,1.6600
U tube,Tube only,Low,4.1884,-0.2503,0.1974,10.0000,1000.0000,0.0000,0.0000,0.0000,0.0000,5.0000,1.6300,1.6600
Floating head,Shell & Tube,High,4.8306,-0.8509,0.3187,10.0000,1000.0000,0.0388,-0.1127,0.0818,5.0000,140.0000,1.6300,1.6600
Floating head,Shell & Tube,Low,4.8306,-0.8509,0.3187,10.0000,1000.0000,0.0000,0.0000,0.0000,0.0000,5.0000,1.6300,1.6600
Floating head,Tube only,High,4.8306,-0.8509,0.3187,10.0000,1000.0000,-0.0016,-0.0063,0.0123,5.0000,140.0000,1.6300,1.6600
Floating head,Tube only,Low,4.8306,-0.8509,0.3187,10.0000,1000.0000,0.0000,0.0000,0.0000,0.0000,5.0000,1.6300,1.6600
Bayonet,Shell & Tube,High,4.2768,-0.0495,0.1431,10.0000,1000.0000,0.0388,-0.1127,0.0818,5.0000,140.0000,1.6300,1.6600
Bayonet,Shell & Tube,Low,4.2768,-0.0495,0.1431,10.0000,1000.0000,0.0000,0.0000,0.0000,0.0000,5.0000,1.6300,1.6600
Bayonet,Tube only,High,4.2768,-0.0495,0.1431,10.0000,1000.0000,-0.0016,-0.0063,0.0123,5.0000,140.0000,1.6300,1.6600
Bayonet,Tube only,Low,4.2768,-0.0495,0.1431,10.0000,1000.0000,0.0000,0.0000,0.0000,0.0000,5.0000,1.6300,1.6600
Kettle reboiler,Shell & Tube,High,4.4646,-0.5277,0.3955,10.0000,100.0000,0.0388,-0.1127,0.0818,5.0000,140.0000,1.6300,1.6600
Kettle reboiler,Shell & Tube,Low,4.4646,-0.5277,0.3955,10.0000,100.0000,0.0000,0.0000,0.0000,0.0000,5.0000,1.6300,1.6600
Kettle reboiler,Tube only,High,4.4646,-0.5277,0.3955,10.0000,100.0000,-0.0016,-0.0063,0.0123,5.0000,140.0000,1.6300,1.6600
Kettle reboiler,Tube only,Low,4.4646,-0.5277,0.3955,10.0000,100.0000,0.0000,0.0000,0.0000,0.0000,5.0000,1.6300,1.6600
Scraped wall,Conventional,High,3.7803,0.8569,0.0349,2.0000,20.0000,13.1467,-12.6574,3.0705,100.0000,300.0000,1.7400,1.5500
Scraped wall,Conventional,Medium,3.7803,0.8569,0.0349,2.0000,20.0000,0.6072,-0.9120,0.3327,40.0000,100.0000,1.7400,1.5500
Scraped wall,Conventional,Low,3.7803,0.8569,0.0349,2.0000,20.0000,0.0000,0.0000,0.0000,0.0000,40.0000,1.7400,1.5500
Teflon tube,Conventional,Low,3.8062,0.8924,-0.1671,1.0000,10.0000,0.0000,0.0000,0.0000,0.0000,15.0000,1.6300,1.6600
Air cooler,Conventional,High,4.0336,0.2341,0.0497,10.0000,10000.0000,-0.1250,0.1536,-0.0286,10.0000,100.0000,0.9600,1.2100
Air cooler,Conventional,Low,4.0336,0.2341,0.0497,10.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,10.0000,0.9600,1.2100
Spiral tube,Shell & Tube,High,3.9912,0.0668,0.2430,1.0000,100.0000,-0.4045,0.1859,0.0000,150.0000,400.0000,1.7400,1.5500
Spiral tube,Shell & Tube,Low,3.9912,0.0668,0.2430,1.0000,100.0000,0.0000,0.0000,0.0000,0.0000,150.0000,1.7400,1.5500
Spiral tube,Tube only,High,3.9912,0.0668,0.2430,1.0000,100.0000,-0.2115,0.0972,0.0000,150.0000,400.0000,1.7400,1.5500
Spiral tube,Tube only,Low,3.9912,0.0668,0.2430,1.0000,100.0000,0.0000,0.0000,0.0000,0.0000,150.0000,1.7400,1.5500
Spiral plate,Conventional,Low,4.6561,-0.2947,0.2207,1.0000,100.0000,0.0000,0.0000,0.0000,0.0000,19.0000,0.9600,1.2100
Flat plate,Conventional,Low,4.6656,-0.1557,0.1547,10.0000,1000.0000,0.0000,0.0000,0.0000,0.0000,19.0000,0.9600,1.2100
